user_id,target,name,sex,dob,location,location_population,location_from,location_from_population,occupation,hobbies,daily_commute,friends_number,relationship_status,education,credit_card_type
0,1,Halina,,1982-08-07,Piastów,22732,Piastów,22732,Teaching professionals,Fitness,46,196,Single,,Visa
1,0,Eustachy,male,1971-10-28,Sokółka,18331,Sokółka,18331,General and keyboard clerks,"LARPing,Foreign language learning,Netball",55,243,Single,,
2,1,Egon,,2000-07-05,Łaskarzew,4879,Łaskarzew,4879,Protective services workers,"Bodybuilding,Kabaddi",90,191,In relationship,3,
3,0,Eulalia,female,1992-06-10,Bydgoszcz,352313,Bydgoszcz,352313,Customer services clerks,Badminton,88,164,In relationship,3,Visa
4,0,Hilary,,1975-01-09,Osieczna,2322,Poznań,538633,Refuse workers and other elementary workers,"Fitness,Embroidery,Lacemaking",40,119,Married with kids,5,
5,1,Bronisława,,1976-10-09,Ryn,2865,Warszawa,1764615,Street and related sales and service workers,"Rowing,Amateur radio,Sudoku",44,204,In relationship,3,Mastercard
6,0,Agata,female,1981-03-19,Warszawa,1764615,Warszawa,1764615,"Labourers in mining, construction, manufacturing and transport","Gym,3D printing,Gaming,Flag Football",56,117,Married with kids,,Mastercard
7,0,Jakub,male,1978-02-24,Dobra,2353,Bielsko-Biała,171505,Administrative and commercial managers,"Crossfit,3D printing,Coloring,Hooping",74,224,In relationship,4,Visa
8,1,Antoni,male,,Gniezno,68943,Gniezno,68943,Personal care workers,"Badminton,Listening to music",9,181,In relationship,4,Mastercard
9,0,Dorota,female,1985-02-17,Warszawa,1764615,Warszawa,1764615,"Market-oriented skilled forestry, fishery and hunting workers",Kettleballs,78,187,In relationship,,Visa
10,0,Irena,female,1973-10-02,Olsztyn,173070,Olsztyn,173070,Information and communications technicians,"Rowing,Badminton,Lego building,Baseball,Vehicle restoration",23,131,,1,Mastercard
11,0,Izydor,male,1984-12-08,Płock,120787,Warszawa,1764615,Protective services workers,,2,7,Married with kids,5,Mastercard
12,0,Filip,male,1976-12-14,Rzeszów,189662,Rzeszów,189662,Drivers and mobile plant operators,Lacemaking,32,229,In relationship,5,Visa
13,0,Anatol,male,,Gliwice,181309,Gliwice,181309,Refuse workers and other elementary workers,,35,119,In relationship,1,Mastercard
14,0,Irmina,female,1967-02-23,Opole,128140,Końskie,19534,Health associate professionals,"Scuba diving,Orienteering",48,326,In relationship,1,Mastercard
15,0,Agnieszka,,1991-02-10,Szczecin,403883,Szczecin,403883,Personal service workers,Stone skipping,38,206,In relationship,1,Mastercard
16,0,Gerhard,male,1976-12-03,Zabrze,174349,Stargard,68195,Science and engineering associate professionals,"Fitness,Rowing,Motor sports,Beekeeping",90,136,Married,3,
17,0,Cecyl,male,1974-11-05,Lublin,339850,Józefów,20488,Electrical and electronic trades workers,"Rowing,Cardio,Roller skating",20,138,Married with kids,4,
18,0,Ada,female,,Leszno,64197,Łuków,30310,Business and administration professionals,"Gym,Calligraphy",11,289,In relationship,4,Mastercard
19,0,Ferdynand,male,1994-03-23,Trzebinia,19954,Świebodzin,21954,"Chief executives, senior officials and legislators","Stretching,Origami,Table tennis,Running",,34,Married with kids,3,Visa
20,0,Bernardeta,female,1990-06-17,Zawadzkie,7250,Kędzierzyn-Koźle,61661,Information and communications technicians,Power bike,6,163,Married,6,Visa
21,0,Bazyli,,1971-12-10,Barlinek,13853,Wrocław,638586,"Agricultural, forestry and fishery labourers","Badminton,Flying disc,Metalworking,Ghost hunting",86,482,Married,5,Visa
22,0,Bernadeta,female,1961-04-05,Toruń,202562,Września,30279,Refuse workers and other elementary workers,"Metal detecting,Kite flying",19,176,Single,4,Visa
23,1,Elżbieta,female,1986-12-18,Brzeziny,12534,Brzeziny,12534,"Labourers in mining, construction, manufacturing and transport","Rowing,Weightlifting,Knife making,Horseback riding",35,299,Married with kids,3,Mastercard
24,0,Bogumiła,female,1982-03-21,Lublin,339850,Bieruń,19639,Personal service workers,"Digital arts,tabletop games",82,212,In relationship,,Visa
25,0,Dobrawa,female,1967-09-13,Mielec,60628,Tomaszów Mazowiecki,63238,Drivers and mobile plant operators,,12,212,Married,2,Visa
26,1,Ilona,female,2000-11-08,Pobiedziska,9139,Pobiedziska,9139,"Hospitality, retail and other services managers",,45,179,Single,,Visa
27,0,Gertruda,female,1961-12-01,Sierpc,18148,Zamość,64354,"Labourers in mining, construction, manufacturing and transport",,46,209,In relationship,5,Visa
28,0,Agata,female,1971-10-09,Wschowa,14084,Wschowa,14084,Health associate professionals,"Nordic skating,Woodworking,Electronics",57,257,Single,4,Visa
29,0,Cecyl,male,1966-10-10,Kraków,767348,Kluczbork,23797,Protective services workers,Computer programming,81,308,In relationship,3,Mastercard
30,1,Benedykta,female,1985-07-08,Nowy Dwór Mazowiecki,28637,Nowy Dwór Mazowiecki,28637,Information and communications technology professionals,Baseball,97,244,Married,4,Mastercard
31,1,Broniszław,male,1999-06-08,Bytom,168394,Bytom,168394,Personal care workers,"Squash,Glassblowing,Computer programming",86,142,Single,4,Mastercard
32,0,Bogdan,male,1973-06-29,Tczew,60257,Tczew,60257,"Metal, machinery and related trades workers","Crossfit,Badminton,Homebrewing,Reading",32,323,Divorced,4,Visa
33,1,Anzelm,male,1995-02-16,Koszalin,107670,Koszalin,107670,"Metal, machinery and related trades workers","Weightlifting,Fitness",16,198,Single,4,Mastercard
34,0,Emanuela,female,1941-03-11,Jawor,23266,Lublin,339850,Production and specialised services managers,"Fitness,Baseball,Crocheting",,186,Married with kids,5,Revolut
35,0,Anna,female,1951-11-15,Częstochowa,224376,Warszawa,1764615,Administrative and commercial managers,"Origami,Sand art",,356,In relationship,6,Visa
36,1,Henryk,male,1962-10-06,Czerwionka-Leszczyny,28329,Garwolin,17381,Production and specialised services managers,,56,212,Single,,Visa
37,0,Anastazy,male,1990-07-12,Piotrków Trybunalski,74312,Piotrków Trybunalski,74312,Food preparation assistants,"Crossfit,Woodworking,Basketball",29,87,In relationship,4,Visa
38,0,Emanuel,male,1978-01-04,Ząbki,35770,Ząbki,35770,Non-commissioned armed forces officers,,56,309,Married,,Mastercard
39,0,Daria,female,2000-03-22,Żagań,26148,Żagań,26148,Protective services workers,Cycling,66,12,Married with kids,5,Visa
40,0,Felicja,female,1982-06-03,Wrocław,638586,Lublin,339850,Information and communications technology professionals,,76,243,Married with kids,,Visa
41,0,Henryka,female,1991-10-18,Gniezno,68943,Kraków,767348,"Legal, social, cultural and related associate professionals","Flag Football,Embroidery",83,206,Married with kids,2,Mastercard
42,0,Cecylia,female,1963-02-22,Kraków,767348,Kraków,767348,"Labourers in mining, construction, manufacturing and transport","Community,Mountain biking,Surfing",46,300,Married,2,Visa
43,0,Eryka,female,1997-09-25,Szczuczyn,3426,Szczuczyn,3426,Stationary plant and machine operators,"Photography,Fashion,Pet",56,207,Married,5,
44,0,Egon,male,,Włocławek,111752,Biłgoraj,26550,"Building and related trades workers, excluding electricians",,29,288,Married with kids,3,Mastercard
45,0,Dobrawa,female,1979-02-06,Radom,214566,Radom,214566,Stationary plant and machine operators,"Glassblowing,Kite flying,Drama",14,273,,3,Visa
46,0,Bogusław,male,1997-03-10,Piła,73791,Szczecin,403883,Market-oriented skilled agricultural workers,"Fishing,Metalworking,Cryptography",36,267,Married,6,Visa
47,0,Gertruda,female,1955-06-29,Białystok,297288,Przemyśl,61808,Protective services workers,"Squash,Cardio,Mountain biking,Scrapbooking",,289,In relationship,4,Visa
48,0,Felicja,female,1986-04-07,Gdańsk,464254,Gdańsk,464254,"Market-oriented skilled forestry, fishery and hunting workers","Fitness,Kite flying,Origami,Jewelry making",20,106,In relationship,5,Mastercard
49,0,Daniela,,1976-10-16,Gorzów Wielkopolski,124295,Gorzów Wielkopolski,124295,"Metal, machinery and related trades workers","Sewing,amateur radio",,28,,5,Visa
50,0,Izyda,female,1956-03-17,Śrem,29845,Śrem,29845,Information and communications technicians,"Power bike,Metal detecting,Cryptography",29,272,Married with kids,5,
51,0,Arletta,female,1988-12-17,Szczecin,403883,Szczecin,403883,Administrative and commercial managers,"Badminton,Scrapbooking,Gunsmithing",6,308,In relationship,3,
52,0,Barbara,female,1981-04-03,Szczecin,403883,Szczecin,403883,Information and communications technicians,"Hooping,Creative writing,Taekwondo",50,236,Married with kids,4,Mastercard
53,0,Aga,female,1941-04-25,Środa Śląska,9428,Środa Śląska,9428,Information and communications technology professionals,"Homebrewing,Lacemaking",92,280,Married with kids,4,Mastercard
54,0,Eugeniusz,male,2000-03-20,Szczyrk,5699,Szczyrk,5699,Information and communications technicians,"Squash,Flag Football",51,200,In relationship,4,Visa
55,0,Aurelian,male,1972-08-20,Radom,214566,Warszawa,1764615,"Hospitality, retail and other services managers","Vacation,role-playing games,Mycology",73,230,,4,Mastercard
56,0,Eryka,female,1969-03-18,Radzyń Podlaski,15808,Radzyń Podlaski,15808,Personal care workers,Digital arts,45,225,In relationship,2,Visa
57,0,Alberta,female,1995-03-28,Kołobrzeg,46568,Kołobrzeg,46568,"Chief executives, senior officials and legislators","Metal detecting,Cycling",19,34,Married,5,Visa
58,0,Aniela,female,1964-12-17,Warszawa,1764615,Warszawa,1764615,Assemblers,Do it yourself,,147,In relationship,5,American Express
